Key,Zh,En,Category,Notes
Node Graph Notebook,Node Graph Notebook,Node Graph Notebook,通用,应用标题
Home,主页,Home,通用,
Settings,设置,Settings,通用,
About,关于,About,通用,
Delete,删除,Delete,通用,
Cancel,取消,Cancel,通用,
Confirm,确认,Confirm,通用,
Close,关闭,Close,通用,
Save,保存,Save,通用,
Rename,重命名,Rename,通用,
Create,创建,Create,通用,
Install,安装,Install,通用,
Uninstall,卸载,Uninstall,通用,
Documentation,文档,Documentation,通用,
Language,语言,Language,通用,
Select Language,选择语言,Select Language,通用,
View project documentation,查看项目文档,View project documentation,设置页面,
Light,浅色,Light,主题,
Always use light theme,始终使用浅色主题,Always use light theme,主题,
Dark,深色,Dark,主题,
Always use dark theme,始终使用深色主题,Always use dark theme,主题,
System,跟随系统,System,主题,
Follow system settings,跟随系统设置,Follow system settings,主题,
Folder,文件夹,Folder,文件夹,
Delete folder,删除文件夹,Delete folder,文件夹,
Are you sure you want to delete this folder?,确定要删除此文件夹吗？,Are you sure you want to delete this folder?,文件夹,
This will delete all nodes in this folder.,这将删除文件夹中的所有节点。,This will delete all nodes in this folder.,文件夹,
No folder plugin loaded,未加载文件夹插件,No folder plugin loaded,文件夹,
AI Tools,AI 工具,AI Tools,AI,
AI Assistant,AI 助手,AI Assistant,AI,
AI Configuration,AI 配置,AI Configuration,AI,
Analyze selected nodes,分析选中节点,Analyze selected nodes,AI,
Use AI to analyze node content,使用 AI 分析节点内容,Use AI to analyze node content,AI,
Suggest connections,推荐连接,Suggest connections,AI,
AI analysis and suggest node connections,AI 分析并推荐节点连接,AI analysis and suggest node connections,AI,
Generate graph summary,生成图摘要,Generate graph summary,AI,
AI generates summary of the graph,AI 生成整张图的摘要,AI generates summary of the graph,AI,
Generate node,生成节点,Generate node,AI,
Use AI to generate new node content,使用 AI 生成新节点内容,Use AI to generate new node content,AI,
Your AI assistant. Click to start a conversation!,您的 AI 助手。点击开始对话！,Your AI assistant. Click to start a conversation!,AI,
AI Assistant added to the graph!,AI 助手已添加到图中！,AI Assistant added to the graph!,AI,
Failed to add AI Assistant:,添加 AI 助手失败：,Failed to add AI Assistant:,AI,
Not configured,未配置,Not configured,AI,
Node Settings,节点设置,Node Settings,AI,
AI Assistant functionality coming soon!,AI 助手功能即将推出！,AI Assistant functionality coming soon!,AI,
AI analysis feature,AI 分析功能,AI analysis feature,AI,
Connection suggestion feature,连接推荐功能,Connection suggestion feature,AI,
Graph summary feature,图摘要生成功能,Graph summary feature,AI,
Node generation feature,节点生成功能,Node generation feature,AI,
This feature requires AI service configuration,此功能需要配置 AI 服务后才能使用,This feature requires AI service configuration,AI,
Initializing...,初始化中...,Initializing...,对话框,
Loading plugins...,加载插件中...,Loading plugins...,对话框,
Retry,重试,Retry,对话框,
OK,确定,OK,对话框,
Theme Mode,主题模式,Theme Mode,主题,
Theme,主题,Theme,主题,
Storage,存储,Storage,存储,
Storage Path,存储路径,Storage Path,存储,
Select Storage Location,选择存储位置,Select Storage Location,存储,
Plugins,插件,Plugins,插件,
